FrameNumber,BrightArea,Intensity
511,812.0,11.768115942028986
512,821.5,11.905797101449275
513,821.0,10.662337662337663
514,812.0,12.492307692307692
515,818.5,12.592307692307692
516,813.0,11.450704225352112
517,820.0,12.8125
518,833.0,12.432835820895523
519,841.0,12.367647058823529
520,830.0,11.690140845070422
521,840.5,10.915584415584416
522,841.5,13.1484375
523,848.5,13.685483870967742
524,854.5,12.207142857142857
525,845.5,13.637096774193548
526,844.0,13.396825396825397
527,846.0,11.28
528,845.5,12.81060606060606
529,850.5,12.326086956521738
530,853.0,11.077922077922079
531,851.0,12.333333333333334
532,856.0,12.588235294117647
533,857.5,11.136363636363637
534,850.5,13.2890625
535,859.5,15.916666666666666
536,869.0,13.166666666666666
537,856.5,14.275
538,847.5,14.364406779661017
539,858.0,11.753424657534246
540,860.0,14.098360655737705
541,875.5,14.838983050847459
542,876.5,12.521428571428572
543,877.0,14.14516129032258
544,872.0,13.841269841269842
545,874.5,12.492857142857142
546,873.5,14.319672131147541
547,874.5,14.10483870967742
548,871.5,12.104166666666666
549,870.5,13.817460317460318
550,871.5,14.056451612903226
551,879.0,12.208333333333334
552,877.0,13.703125
553,875.5,13.6796875
554,883.0,11.932432432432432
555,888.0,11.532467532467532
556,885.5,14.28225806451613
557,890.5,15.35344827586207
558,894.0,13.545454545454545
559,887.0,16.425925925925927
560,898.5,15.491379310344827
561,895.0,12.971014492753623
562,891.0,13.298507462686567
563,894.0,14.19047619047619
564,892.0,15.11864406779661
565,889.0,13.469696969696969
566,881.0,14.932203389830509
567,882.0,14.7
568,884.5,12.635714285714286
569,887.5,15.570175438596491
570,877.0,15.120689655172415
571,875.0,13.461538461538462
572,876.5,17.186274509803923
573,883.0,16.35185185185185
574,889.5,13.276119402985074
575,891.0,15.101694915254237
576,891.0,15.101694915254237
577,891.5,13.715384615384615
578,896.5,14.941666666666666
579,890.5,15.901785714285714
580,895.0,13.56060606060606
581,904.0,15.859649122807017
582,901.0,14.53225806451613
583,903.5,15.850877192982455
584,903.0,17.037735849056602
585,906.5,14.860655737704919
586,920.0,17.037037037037038
587,912.5,14.71774193548387
588,917.5,15.818965517241379
589,920.0,16.727272727272727
590,924.0,15.4
591,915.0,17.596153846153847
592,935.5,16.412280701754387
593,940.5,14.037313432835822
594,953.0,15.62295081967213
595,938.5,14.438461538461539
596,938.5,16.18103448275862
597,940.0,14.461538461538462
598,942.5,14.5
599,939.5,15.658333333333333
600,944.5,16.008474576271187
601,945.5,14.325757575757576
602,943.0,16.25862068965517
603,960.0,16.271186440677965
604,956.0,13.657142857142857
605,964.5,14.395522388059701
606,951.0,12.037974683544304
607,946.5,15.023809523809524
608,961.5,15.762295081967213
609,970.0,12.763157894736842
610,981.0,15.092307692307692
611,970.0,14.057971014492754
612,966.5,14.007246376811594
613,985.0,15.634920634920634
614,986.0,13.506849315068493
615,982.0,15.34375
616,977.5,16.291666666666668
617,975.5,14.345588235294118
618,988.5,15.69047619047619
619,959.5,12.625
620,996.0,14.434782608695652
621,986.5,14.723880597014926
622,995.5,16.31967213114754
623,989.0,14.333333333333334
624,1005.5,15.96031746031746
625,977.0,15.265625
626,973.5,15.701612903225806
627,989.0,14.761194029850746
628,989.5,12.85064935064935
629,998.0,15.121212121212121
630,980.5,14.007142857142858
631,985.0,16.416666666666668
632,971.5,14.946153846153846
633,969.5,14.257352941176471
634,964.5,16.075
635,968.5,16.141666666666666
636,971.5,14.286764705882353
637,975.5,16.258333333333333
638,1001.0,16.683333333333334
639,1001.5,17.57017543859649
640,950.0,12.837837837837839
641,962.5,15.277777777777779
642,975.0,13.732394366197184
643,985.0,16.147540983606557
644,983.0,15.603174603174603
645,979.0,14.611940298507463
646,984.5,14.694029850746269
647,982.5,13.645833333333334
648,1008.5,16.5327868852459
649,994.5,15.068181818181818
650,996.5,18.453703703703702
651,1006.0,17.344827586206897
652,1010.0,15.538461538461538
653,1010.0,17.11864406779661
654,996.0,14.647058823529411
655,990.0,15.46875
656,994.0,16.566666666666666
657,999.5,14.077464788732394
658,1006.5,17.973214285714285
659,992.5,14.595588235294118
660,1008.0,17.68421052631579
661,1010.5,15.546153846153846
662,1007.0,16.241935483870968
663,1002.0,17.57894736842105
664,998.0,14.46376811594203
665,996.5,17.794642857142858
666,988.5,16.475
667,988.0,15.2
668,1015.0,16.639344262295083
669,1017.5,16.411290322580644
670,1011.0,16.306451612903224
671,1015.5,17.21186440677966
672,1029.0,17.74137931034483
673,1018.5,16.975
674,1031.5,17.191666666666666
675,1023.0,13.285714285714286
676,1021.5,15.715384615384615
677,1025.5,16.54032258064516
678,1031.0,13.932432432432432
679,1042.5,15.795454545454545
680,1036.0,14.191780821917808
681,1035.5,16.975409836065573
682,1028.0,17.423728813559322
683,1028.0,14.277777777777779
684,1036.5,17.870689655172413
685,1055.0,16.484375
686,1043.0,14.9
687,1059.0,17.360655737704917
688,1044.0,16.3125
689,1041.5,18.271929824561404
690,1048.0,18.714285714285715
691,1044.5,14.506944444444445
692,1066.5,17.201612903225808
693,1060.0,14.929577464788732
694,1081.5,18.025
695,1076.5,13.45625
696,1078.5,17.11904761904762
697,1080.0,18.305084745762713
698,1082.0,14.821917808219178
699,1077.0,16.318181818181817
700,1093.0,16.815384615384616
701,1091.5,14.361842105263158
702,1081.5,17.443548387096776
703,1067.5,15.698529411764707
704,1069.0,17.241935483870968
705,1082.5,16.9140625
706,1079.0,14.58108108108108
707,1084.0,16.424242424242426
708,1072.5,17.581967213114755
709,1070.0,15.285714285714286
710,1086.5,19.401785714285715
711,1079.5,16.607692307692307
712,1102.0,17.21875
713,1092.0,17.0625
714,1123.0,18.40983606557377
715,1092.5,17.0703125
716,1103.0,20.054545454545455
717,1112.5,18.237704918032787
718,1119.0,17.761904761904763
719,1118.0,19.614035087719298
720,1085.5,18.091666666666665
721,1066.5,15.917910447761194
722,1061.5,15.164285714285715
723,1063.0,18.016949152542374
724,1070.5,15.977611940298507
725,1076.0,16.303030303030305
726,1077.0,17.095238095238095
727,1090.5,16.522727272727273
